,,,,,,,,,,,,,,,,,,,,,,
Population_KZ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Regions_KZ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Kazakhstan,14901641,14865610,14851059,14866837,14951200,15074767,15219291,15396878,15571506,15982370,16203274,16440470,16673933,16910246,17160855,17415715,17669896,17918214,18157337,18395567,18631779,18879552
Akmola_region,799179,776377,755000,748167,748930,747185,746652,748559,747447,738827,735134,733281,731399,732768,735612,736560,744420,734369,738942,738587,736735,735566
Aktobe_region,677715,670231,668166,668378,671812,678607,686698,695454,703660,756782,763591,777501,786390,795871,808985,822557,834808,845679,857711,869637,881651,894333
Almaty_region,1557141,1554320,1554573,1560267,1571194,1589751,1603758,1620696,1643278,1804005,1836162,1872844,1908785,1946831,1984572,1921888,1947552,1983465,2017278,2038935,2055724,2077967
Atyrau_region,441692,443630,447634,451928,457215,463466,472384,480687,490369,509123,520988,532033,542959,555199,567831,581389,594511,607528,620684,633791,645280,657110
West_Kazakhstan_region,609161,601648,600330,602133,603832,606534,609291,612479,615310,598342,603858,608334,612581,617735,624085,630056,636980,641513,646927,652325,656844,661316
Zhambyl_region,986144,981928,979199,980072,985552,992089,1001094,1009210,1018845,1020796,1034487,1046260,1055822,1069785,1084369,1098489,1110749,1115307,1117218,1125440,1130099,1139192
Karaganda_region,1390454,1364781,1344244,1333656,1330927,1331702,1334438,1339368,1342081,1341207,1346822,1352217,1357969,1362777,1369658,1378121,1384810,1382734,1380537,1378532,1376882,1375938
Kostanay_region,988787,959274,935717,919558,913435,907396,903178,900333,894192,886329,883379,881656,879635,880116,880968,881569,883806,879134,875616,872795,868549,864550
Kyzylorda_region,598526,599738,600972,603804,607491,612048,618249,625070,632234,677734,689011,700511,712899,726692,739726,753001,765058,773143,783157,794335,803531,814588
Mangistau_region,315203,319191,328265,338612,349668,361754,374430,390531,407403,482631,503241,524185,545789,567770,587431,606843,626774,642824,660317,678199,698796,719571
Pavlodar_region,790774,772453,758154,748651,745238,743826,742911,744860,746454,742276,744395,746224,747167,749201,752914,755793,758594,757014,754854,753853,752169,751012
North_Kazakhstan_region,713628,702623,691263,682148,674497,665936,663126,660950,653921,597534,592791,589421,583772,579700,575945,571830,569594,563300,558584,554517,548755,543735
Turkestan_region,2005023,2051351,2079506,2111893,2150256,2193556,2233568,2282474,2331505,2462782,2511580,2567611,2621472,2678739,2733053,2787906,2840871,1966336,1977028,1983969,2016037,2044742
East_Kazakhstan_region,1516785,1499097,1482550,1465931,1455412,1442097,1431180,1424513,1417384,1396871,1398073,1398078,1395060,1394068,1394388,1395466,1396019,1389568,1383745,1378527,1369597,1363797
Astana,380990,440209,493062,501998,510533,529335,550438,574448,602684,605254,649152,697162,742868,778145,814419,852803,872584,972692,1030577,1078384,1136156,1184411
Almaty,1130439,1128759,1132424,1149641,1175208,1209485,1247896,1287246,1324739,1361877,1390610,1413152,1449366,1474849,1506899,1641444,1702766,1751308,1801993,1854656,1916822,1977258
Shymkent,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,912300,952169,1009085,1038152,1074466
