,,,,,,
,,,№,Lakes,"Square, km²",Regions
,,,1,Caspian Sea,371000,Atyrau|Mangistau
,,,2,Balkhash,16400,"Almaty, Karaganda, Zhambyl"
,,,3,Aral Sea,13900,"Kyzylorda, Aktobe"
,,,4,Small Aral Sea,3300,Kyzylorda
,,,5,Alakol,2200,"Almaty, East Kazakhstan region"
,,,6,Zaysan,1810,East_Kazakhstan
,,,7,Tengiz,1590,Akmola
,,,8,Seltyteniz,750,North_Kazakhstan
,,,9,Sasykkol,736,"Almaty, East Kazakhstan region"
,,,10,Kusmuryn,460,Kostanay
,,,11,Markol,455,East_Kazakhstan
,,,12,Sarykopa,336,Kostanay
,,,13,Kurgaldzhin,330,Akmola
,,,14,Shaglutenize,267,North_Kazakhstan
,,,15,Ulken-Kara,306,North_Kazakhstan
,,,16,Teke,257,North_Kazakhstan
,,,17,Shalkar,206,West_Kazakhstan
,,,18,Kamystybas,178,Kyzylorda
,,,19,Kyzylkak,175,Pavlodar
,,,20,Sluts,171,Pavlodar
,,,21,Karasor,155,Karaganda
,,,22,Arys_Lake,124,Kyzylorda
,,,23,Aralor,124,West_Kazakhstan
,,,24,Ulyales,120,"Almaty, East Kazakhstan region"
,,,25,Indder,110,Atyrau
,,,26,Kishi-karai,101,North_Kazakhstan
,,,27,Koibagar,95.95,Kostanay
,,,28,Kalibek,95.61,Kokshetau
,,,29,Zhaltyr,92.8,Gurievskaya
,,,30,Sarykopa,89.1,Kostanay
,,,31,Biylekol,86.5,Zhambyl
,,,32,Shureksor,80.94,Pavlodar
,,,33,Big Azhbulat,80.25,Pavlodar
,,,34,Karasor,75.55,Kokshetau
,,,35,Karacoin,75.3,Zhezkazgan
,,,36,Ashchikol,74.23,Kyzylorda
,,,37,Teniz,64.2,Kostanay
,,,38,Akkol,62.26,Kostanay
,,,39,Ashchikol,60.5,Zhambyl
,,,40,Zharman,56.91,Kostanay
,,,41,Zhaksykylysh,59.7,Kyzylorda
,,,42,Aralsor,57.86,Ural
,,,43,Itemman,"56,22-57,4",Akmola
,,,44,Akkol,56,Zhambyl
,,,45,Maraldy,54.75,Pavlodar
,,,46,Kalmakkol,53.14,Kokshetau
,,,47,Tontyger,"52-54,3",Kostanay
,,,48,Kak,52.24,North Kazakhstan
