Hygienic standards for the content of chemicals in water (to control the migration of harmful chemicals from materials and reagents used in the practice of drinking water supply),,,,,
,Substance_name,Indicator type,"Standards (MPC), not more than in mg / l",Hazard index,Class
1,Total mineralization (dry residue),Generalized indicators,1000,,
2,general hardness,Generalized indicators,7.0 (mg-eq./L),,
3,"Oil products, total",Generalized indicators,0.1,,
4,"Surfactants (SAS), anionic",Generalized indicators,0.5,,
5,Aluminum (Al3+),Inorganic substances (cations),0.5,Sanitary-toxicological,II class
6,Ammonia (for nitrogen),Inorganic substances (cations),2,Sanitary-toxicological,III class
7,Barium (Ba2+),Inorganic substances (cations),0.7,Sanitary-toxicological,II class
8,Beryllium (Be2+),Inorganic substances (cations),0.0002,Sanitary-toxicological,I class
9,"Boron (B, total)",Inorganic substances (cations),0.5,Sanitary-toxicological,II class
10,Vanadium,Inorganic substances (cations),0.1,Sanitary-toxicological,III class
11,Bismuth,Inorganic substances (cations),0.1,Sanitary-toxicological,II class
12,Tungsten,Inorganic substances (cations),0.05,Sanitary-toxicological,II class
13,"Iron (Fe, total)",Inorganic substances (cations),0.3,organoleptically,III class
14,"Cadmium (Cd, total)",Inorganic substances (cations),0.001,Sanitary-toxicological,II class
15,Cobalt,Inorganic substances (cations),0.1,Sanitary-toxicological,II class
16,Silicon,Inorganic substances (cations),10,Sanitary-toxicological,II class
17,Lithium,Inorganic substances (cations),0.03,Sanitary-toxicological,II class
18,"Manganese (Mn, total)",Inorganic substances (cations),0.1,organoleptically,III class
19,"Copper (Cu, total)",Inorganic substances (cations),1,organoleptically,III class
20,"Molybdenum (Mo, total)",Inorganic substances (cations),0.25,Sanitary-toxicological,II class
21,"Arsenic (As, total)",Inorganic substances (cations),0.05,Sanitary-toxicological,II class
22,Sodium,Inorganic substances (cations),200,Sanitary-toxicological,II class
23,"Nickel (Ni, total)",Inorganic substances (cations),0.1,Sanitary-toxicological,III class
24,Niobium (Nb),Inorganic substances (cations),0.01,Sanitary-toxicological,II class
25,"hydrargyrum (Hg, total)",Inorganic substances (cations),0.0005,Sanitary-toxicological,I class
26,"Plumbum (Pb, total)",Inorganic substances (cations),0.03,Sanitary-toxicological,II class
27,"Selenium (Se, total)",Inorganic substances (cations),0.01,Sanitary-toxicological,II class
28,Silver,Inorganic substances (cations),0.05,Sanitary-toxicological,II class
29,Strontium (Sr2+),Inorganic substances (cations),7,Sanitary-toxicological,II class
30,Antimony,Inorganic substances (cations),0.05,Sanitary-toxicological,II class
31,Thallium,Inorganic substances (cations),0.0001,Sanitary-toxicological,I class
